# Temperatura_=_20.0
# Concentracion g/m^3_=_4600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301472.93374618416
# Promedio de 41 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-3.209399e-09	-2.970077e-09	-2.354589e+01	-1.942411e+02
1.000000e-08	-3.208658e-09	-2.972068e-09	-2.354045e+01	-1.943097e+02
2.000000e-08	-3.206588e-09	-2.973053e-09	-2.352526e+01	-1.943652e+02
3.000000e-08	-3.203305e-09	-2.973165e-09	-2.350118e+01	-1.944150e+02
4.000000e-08	-3.199120e-09	-2.972946e-09	-2.347047e+01	-1.944607e+02
5.000000e-08	-3.193992e-09	-2.972382e-09	-2.343285e+01	-1.944962e+02
6.000000e-08	-3.187797e-09	-2.971446e-09	-2.338740e+01	-1.945109e+02
7.000000e-08	-3.180603e-09	-2.968749e-09	-2.333463e+01	-1.944947e+02
8.000000e-08	-3.172455e-09	-2.966538e-09	-2.327485e+01	-1.944431e+02
9.000000e-08	-3.162914e-09	-2.980486e-09	-2.320485e+01	-1.943592e+02
1.000000e-07	-3.151606e-09	-2.988546e-09	-2.312189e+01	-1.942523e+02
1.100000e-07	-3.138850e-09	-2.979006e-09	-2.302831e+01	-1.941345e+02
1.200000e-07	-3.125136e-09	-2.937229e-09	-2.292769e+01	-1.940160e+02
1.300000e-07	-3.110409e-09	-2.944338e-09	-2.281965e+01	-1.939025e+02
1.400000e-07	-3.094290e-09	-2.997912e-09	-2.270139e+01	-1.937952e+02
1.500000e-07	-3.077071e-09	-2.959725e-09	-2.257506e+01	-1.936919e+02
1.600000e-07	-3.059185e-09	-2.911992e-09	-2.244384e+01	-1.935882e+02
1.700000e-07	-3.040334e-09	-2.961346e-09	-2.230554e+01	-1.934783e+02
1.800000e-07	-3.020349e-09	-2.973040e-09	-2.215892e+01	-1.933546e+02
1.900000e-07	-2.999523e-09	-2.923136e-09	-2.200613e+01	-1.932068e+02
2.000000e-07	-2.977794e-09	-2.966774e-09	-2.184671e+01	-1.930231e+02
2.100000e-07	-2.954915e-09	-2.975041e-09	-2.167886e+01	-1.927930e+02
2.200000e-07	-2.931117e-09	-2.905013e-09	-2.150427e+01	-1.925109e+02
2.300000e-07	-2.906363e-09	-2.916634e-09	-2.132266e+01	-1.921805e+02
2.400000e-07	-2.880204e-09	-2.944259e-09	-2.113074e+01	-1.918142e+02
2.500000e-07	-2.852793e-09	-2.920708e-09	-2.092964e+01	-1.914311e+02
2.600000e-07	-2.824454e-09	-2.924885e-09	-2.072173e+01	-1.910497e+02
2.700000e-07	-2.795163e-09	-2.914808e-09	-2.050684e+01	-1.906811e+02
2.800000e-07	-2.764891e-09	-2.886473e-09	-2.028474e+01	-1.903246e+02
2.900000e-07	-2.733718e-09	-2.894512e-09	-2.005604e+01	-1.899681e+02
3.000000e-07	-2.701752e-09	-2.894522e-09	-1.982153e+01	-1.895925e+02
3.100000e-07	-2.668814e-09	-2.896716e-09	-1.957987e+01	-1.891797e+02
3.200000e-07	-2.634594e-09	-2.889921e-09	-1.932882e+01	-1.887190e+02
3.300000e-07	-2.599264e-09	-2.853796e-09	-1.906961e+01	-1.882101e+02
3.400000e-07	-2.563136e-09	-2.845367e-09	-1.880456e+01	-1.876612e+02
3.500000e-07	-2.526148e-09	-2.861222e-09	-1.853320e+01	-1.870835e+02
3.600000e-07	-2.488194e-09	-2.843510e-09	-1.825474e+01	-1.864861e+02
3.700000e-07	-2.449339e-09	-2.828087e-09	-1.796968e+01	-1.858723e+02
3.800000e-07	-2.409798e-09	-2.815769e-09	-1.767959e+01	-1.852405e+02
3.900000e-07	-2.369663e-09	-2.807970e-09	-1.738514e+01	-1.845876e+02
4.000000e-07	-2.328600e-09	-2.816626e-09	-1.708388e+01	-1.839126e+02
4.100000e-07	-2.286304e-09	-2.790073e-09	-1.677358e+01	-1.832185e+02
4.200000e-07	-2.243008e-09	-2.772274e-09	-1.645593e+01	-1.825096e+02
4.300000e-07	-2.199032e-09	-2.781027e-09	-1.613330e+01	-1.817880e+02
4.400000e-07	-2.154346e-09	-2.756233e-09	-1.580546e+01	-1.810492e+02
4.500000e-07	-2.108903e-09	-2.723487e-09	-1.547207e+01	-1.802823e+02
4.600000e-07	-2.062747e-09	-2.741008e-09	-1.513344e+01	-1.794734e+02
4.700000e-07	-2.015870e-09	-2.740998e-09	-1.478952e+01	-1.786127e+02
4.800000e-07	-1.968344e-09	-2.694290e-09	-1.444085e+01	-1.777001e+02
4.900000e-07	-1.920168e-09	-2.675194e-09	-1.408740e+01	-1.767477e+02
5.000000e-07	-1.871057e-09	-2.685800e-09	-1.372709e+01	-1.757755e+02
5.100000e-07	-1.820817e-09	-2.670310e-09	-1.335851e+01	-1.748026e+02
5.200000e-07	-1.769651e-09	-2.634896e-09	-1.298313e+01	-1.738386e+02
5.300000e-07	-1.717812e-09	-2.625731e-09	-1.260281e+01	-1.728780e+02
5.400000e-07	-1.665329e-09	-2.618794e-09	-1.221777e+01	-1.719023e+02
5.500000e-07	-1.612220e-09	-2.593287e-09	-1.182813e+01	-1.708877e+02
5.600000e-07	-1.558545e-09	-2.574932e-09	-1.143434e+01	-1.698158e+02
5.700000e-07	-1.504290e-09	-2.573494e-09	-1.103630e+01	-1.686808e+02
5.800000e-07	-1.449464e-09	-2.552931e-09	-1.063406e+01	-1.674906e+02
5.900000e-07	-1.394193e-09	-2.517922e-09	-1.022857e+01	-1.662603e+02
6.000000e-07	-1.338592e-09	-2.507118e-09	-9.820648e+00	-1.650023e+02
6.100000e-07	-1.282662e-09	-2.495918e-09	-9.410318e+00	-1.637180e+02
6.200000e-07	-1.226330e-09	-2.463613e-09	-8.997032e+00	-1.623965e+02
6.300000e-07	-1.169457e-09	-2.437098e-09	-8.579779e+00	-1.610202e+02
6.400000e-07	-1.111896e-09	-2.423460e-09	-8.157481e+00	-1.595757e+02
6.500000e-07	-1.053651e-09	-2.395180e-09	-7.730170e+00	-1.580627e+02
6.600000e-07	-9.948650e-10	-2.364969e-09	-7.298882e+00	-1.564959e+02
6.700000e-07	-9.356645e-10	-2.350127e-09	-6.864555e+00	-1.548983e+02
6.800000e-07	-8.761830e-10	-2.329853e-09	-6.428166e+00	-1.532879e+02
6.900000e-07	-8.165481e-10	-2.296828e-09	-5.990652e+00	-1.516655e+02
7.000000e-07	-7.567924e-10	-2.270293e-09	-5.552252e+00	-1.500099e+02
7.100000e-07	-6.968724e-10	-2.250387e-09	-5.112647e+00	-1.482842e+02
7.200000e-07	-6.367644e-10	-2.217029e-09	-4.671661e+00	-1.464515e+02
7.300000e-07	-5.764798e-10	-2.180619e-09	-4.229381e+00	-1.444909e+02
7.400000e-07	-5.160125e-10	-2.153026e-09	-3.785761e+00	-1.424077e+02
7.500000e-07	-4.553455e-10	-2.122274e-09	-3.340674e+00	-1.402289e+02
