# 260408_13:24:54.408912
t	CH1	CH2
0.000000e+00	-4.520306e-03	1.181449e+00
1.000000e-08	-4.141345e-03	8.676359e-01
2.000000e-08	-3.795832e-03	6.555894e-01
3.000000e-08	-3.924469e-03	4.455805e-01
4.000000e-08	-4.158697e-03	2.160828e-01
5.000000e-08	-3.864084e-03	-3.900256e-02
6.000000e-08	5.547398e-03	-2.201263e-01
7.000000e-08	8.901884e-04	-3.980263e-01
8.000000e-08	8.652511e-04	-6.284975e-01
9.000000e-08	-5.809029e-04	-8.311315e-01
1.000000e-07	6.798134e-05	-1.060130e+00
1.100000e-07	-1.425718e-03	-1.249105e+00
1.200000e-07	3.590760e-03	-1.503263e+00
1.300000e-07	4.835105e-02	-1.703234e+00
1.400000e-07	7.949778e-02	-1.873810e+00
1.500000e-07	-8.162237e-02	-2.267119e+00
1.600000e-07	-6.894776e-03	-2.553815e+00
1.700000e-07	-4.831278e-02	-2.746842e+00
1.800000e-07	-8.351497e-02	-2.840681e+00
1.900000e-07	1.135022e-01	-2.968601e+00
2.000000e-07	4.980955e-02	-3.197494e+00
2.100000e-07	-1.500386e-01	-3.502632e+00
2.200000e-07	2.031477e-01	-3.620053e+00
2.300000e-07	-1.563234e-01	-3.899121e+00
2.400000e-07	2.705150e-02	-4.102711e+00
2.500000e-07	1.089827e-01	-4.261205e+00
2.600000e-07	-1.430562e-01	-4.501259e+00
2.700000e-07	1.326367e-01	-4.674188e+00
2.800000e-07	-2.916141e-02	-4.893407e+00
2.900000e-07	-6.250547e-02	-5.166522e+00
3.000000e-07	1.158949e-01	-5.427496e+00
3.100000e-07	-1.423552e-01	-5.639631e+00
3.200000e-07	1.120334e-01	-5.850605e+00
3.300000e-07	-4.469382e-02	-6.009050e+00
3.400000e-07	-4.151148e-04	-6.249224e+00
3.500000e-07	6.820760e-02	-6.430134e+00
3.600000e-07	-9.068405e-02	-6.650780e+00
3.700000e-07	1.144660e-01	-6.830629e+00
3.800000e-07	-1.120229e-01	-6.988105e+00
3.900000e-07	4.928504e-02	-7.300129e+00
4.000000e-07	1.882669e-02	-7.397076e+00
4.100000e-07	-4.171895e-02	-7.658055e+00
4.200000e-07	7.666987e-02	-7.787029e+00
4.300000e-07	-7.044464e-02	-8.030055e+00
4.400000e-07	5.727730e-02	-8.148450e+00
4.500000e-07	-4.932396e-02	-8.343842e+00
4.600000e-07	1.778408e-02	-8.463688e+00
4.700000e-07	2.594635e-02	-8.591633e+00
4.800000e-07	-1.273749e-02	-8.820078e+00
4.900000e-07	2.418035e-02	-8.985446e+00
5.000000e-07	-4.818201e-02	-9.103788e+00
5.100000e-07	4.772577e-02	-9.260130e+00
5.200000e-07	-2.237765e-02	-9.387551e+00
5.300000e-07	1.662360e-02	-9.545368e+00
5.400000e-07	-8.467571e-03	-9.672737e+00
5.500000e-07	1.636472e-02	-9.830104e+00
5.600000e-07	1.208528e-03	-9.945368e+00
5.700000e-07	-1.363046e-02	-1.009269e+01
5.800000e-07	1.235387e-02	-1.021918e+01
5.900000e-07	-9.999899e-04	-1.033400e+01
6.000000e-07	1.032309e-02	-1.050471e+01
6.100000e-07	-1.255804e-02	-1.059845e+01
6.200000e-07	1.982158e-02	-1.071426e+01
6.300000e-07	-1.354734e-03	-1.080753e+01
6.400000e-07	4.769125e-03	-1.089472e+01
6.500000e-07	-6.817948e-03	-1.095605e+01
6.600000e-07	1.133187e-02	-1.109479e+01
6.700000e-07	4.503963e-03	-1.118805e+01
6.800000e-07	4.277486e-04	-1.128476e+01
6.900000e-07	7.194756e-03	-1.137900e+01
