# Temperatura_=_20.0
# Concentracion g/m^3_=_4600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302592.9456606682
# Promedio de 36 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.978409e-09	-5.091648e-09	-5.756552e+01	-3.320539e+02
1.000000e-08	-7.975553e-09	-5.093038e-09	-5.754491e+01	-3.322655e+02
2.000000e-08	-7.970043e-09	-5.088331e-09	-5.750516e+01	-3.325055e+02
3.000000e-08	-7.961962e-09	-5.084421e-09	-5.744685e+01	-3.325760e+02
4.000000e-08	-7.951085e-09	-5.082444e-09	-5.736837e+01	-3.323583e+02
5.000000e-08	-7.937254e-09	-5.078358e-09	-5.726859e+01	-3.318815e+02
6.000000e-08	-7.920542e-09	-5.070618e-09	-5.714800e+01	-3.313080e+02
7.000000e-08	-7.901375e-09	-5.056189e-09	-5.700971e+01	-3.308426e+02
8.000000e-08	-7.879965e-09	-5.045828e-09	-5.685523e+01	-3.306184e+02
9.000000e-08	-7.855857e-09	-5.090840e-09	-5.668129e+01	-3.306200e+02
1.000000e-07	-7.828607e-09	-5.082964e-09	-5.648468e+01	-3.306903e+02
1.100000e-07	-7.798303e-09	-5.039612e-09	-5.626603e+01	-3.306165e+02
1.200000e-07	-7.765138e-09	-5.036460e-09	-5.602674e+01	-3.302488e+02
1.300000e-07	-7.729220e-09	-5.037961e-09	-5.576758e+01	-3.295858e+02
1.400000e-07	-7.690836e-09	-5.013241e-09	-5.549064e+01	-3.287796e+02
1.500000e-07	-7.650154e-09	-4.958665e-09	-5.519711e+01	-3.280542e+02
1.600000e-07	-7.607096e-09	-5.016390e-09	-5.488644e+01	-3.275823e+02
1.700000e-07	-7.561461e-09	-5.051304e-09	-5.455718e+01	-3.273858e+02
1.800000e-07	-7.513092e-09	-4.970477e-09	-5.420819e+01	-3.273177e+02
1.900000e-07	-7.461866e-09	-5.017927e-09	-5.383859e+01	-3.271343e+02
2.000000e-07	-7.407735e-09	-4.973350e-09	-5.344803e+01	-3.266233e+02
2.100000e-07	-7.350834e-09	-4.930024e-09	-5.303747e+01	-3.257173e+02
2.200000e-07	-7.291271e-09	-4.950900e-09	-5.260772e+01	-3.245329e+02
2.300000e-07	-7.229125e-09	-4.908858e-09	-5.215933e+01	-3.233118e+02
2.400000e-07	-7.164309e-09	-4.938761e-09	-5.169167e+01	-3.222956e+02
2.500000e-07	-7.096718e-09	-4.901154e-09	-5.120399e+01	-3.215995e+02
2.600000e-07	-7.026426e-09	-4.893800e-09	-5.069682e+01	-3.211530e+02
2.700000e-07	-6.953370e-09	-4.880893e-09	-5.016972e+01	-3.207398e+02
2.800000e-07	-6.877494e-09	-4.874223e-09	-4.962226e+01	-3.201143e+02
2.900000e-07	-6.798839e-09	-4.847988e-09	-4.905475e+01	-3.191331e+02
3.000000e-07	-6.717511e-09	-4.819684e-09	-4.846795e+01	-3.178304e+02
3.100000e-07	-6.633801e-09	-4.845778e-09	-4.786397e+01	-3.163962e+02
3.200000e-07	-6.547843e-09	-4.805833e-09	-4.724377e+01	-3.150701e+02
3.300000e-07	-6.459552e-09	-4.783546e-09	-4.660674e+01	-3.140083e+02
3.400000e-07	-6.368886e-09	-4.775283e-09	-4.595257e+01	-3.131970e+02
3.500000e-07	-6.275920e-09	-4.757704e-09	-4.528180e+01	-3.124591e+02
3.600000e-07	-6.180697e-09	-4.722769e-09	-4.459475e+01	-3.115522e+02
3.700000e-07	-6.083181e-09	-4.697879e-09	-4.389116e+01	-3.103033e+02
3.800000e-07	-5.983428e-09	-4.697287e-09	-4.317143e+01	-3.087066e+02
3.900000e-07	-5.881537e-09	-4.677788e-09	-4.243627e+01	-3.069292e+02
4.000000e-07	-5.777553e-09	-4.647107e-09	-4.168601e+01	-3.052219e+02
4.100000e-07	-5.671517e-09	-4.616608e-09	-4.092094e+01	-3.037803e+02
4.200000e-07	-5.563501e-09	-4.606509e-09	-4.014159e+01	-3.026357e+02
4.300000e-07	-5.453532e-09	-4.584552e-09	-3.934814e+01	-3.016336e+02
4.400000e-07	-5.341558e-09	-4.555411e-09	-3.854023e+01	-3.005158e+02
4.500000e-07	-5.227513e-09	-4.537148e-09	-3.771739e+01	-2.990608e+02
