# Configuracion:
# Concentracion g/m^3_=_4600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_302592.9456606682
# 
Resultados:
# tau_ns_=_(5.26+/-0.30)e+01
# dphi_rad_=_6.38+/-0.01
# SAR_W/g_=_587.47+/-31.32
# Hc_kA/m_=_7.81+/-0.23
# Mr_A/m_=_172.07+/-5.02
# Magnetizacion_max_emu/g_=_72.5+/-1.4
# Suceptibilidad_a_M=0_=_(4.160+/-0.210)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_152dA_100Mss_bobN112090_0007.txt		20.00	165.11	8.21	57784.76	322.09	3.025719e+05	2.552840e+01	6.394028e+00	631.64	58.540999	4627	3.681e-02
300kHz_152dA_100Mss_bobN112090_0008.txt		20.00	165.07	8.16	57784.76	326.10	3.025719e+05	2.574694e+01	6.389217e+00	609.50	55.980178	4627	3.727e-02
300kHz_152dA_100Mss_bobN112090_0009.txt		20.00	166.52	8.13	57784.76	323.89	3.025719e+05	2.564922e+01	6.391039e+00	617.58	56.949574	4627	3.806e-02
300kHz_152dA_100Mss_bobN112090_0010.txt		20.00	166.13	8.13	57784.76	325.44	3.025719e+05	2.571656e+01	6.387066e+00	596.48	54.836732	4627	3.814e-02
300kHz_152dA_100Mss_bobN112090_0011.txt		20.00	166.88	8.09	57784.76	324.86	3.025719e+05	2.568624e+01	6.386766e+00	594.06	54.677094	4627	3.884e-02
300kHz_152dA_100Mss_bobN112090_0012.txt		20.00	169.05	8.09	57784.76	327.92	3.025719e+05	2.598233e+01	6.390154e+00	620.49	56.478969	4627	3.923e-02
300kHz_152dA_100Mss_bobN112090_0013.txt		20.00	169.94	8.10	57784.76	328.55	3.025719e+05	2.603382e+01	6.390735e+00	625.08	56.788544	4627	3.949e-02
300kHz_152dA_100Mss_bobN112090_0014.txt		20.00	168.92	8.05	57784.76	328.50	3.025719e+05	2.599090e+01	6.386597e+00	600.12	54.587323	4627	3.957e-02
300kHz_152dA_100Mss_bobN112090_0015.txt		20.00	169.36	8.00	57784.76	326.76	3.025719e+05	2.585417e+01	6.385574e+00	591.09	54.043716	4627	3.953e-02
300kHz_152dA_100Mss_bobN112090_0016.txt		20.00	170.36	7.99	57784.76	326.26	3.025719e+05	2.586820e+01	6.387152e+00	600.48	54.881979	4627	3.950e-02
300kHz_152dA_100Mss_bobN112090_0017.txt		20.00	172.22	7.93	57784.76	332.21	3.025719e+05	2.633661e+01	6.387095e+00	611.03	54.851864	4627	4.040e-02
300kHz_152dA_100Mss_bobN112090_0018.txt		20.00	173.42	7.98	57784.76	331.69	3.025719e+05	2.629289e+01	6.388230e+00	616.65	55.455622	4627	4.079e-02
300kHz_152dA_100Mss_bobN112090_0019.txt		20.00	173.96	7.93	57784.76	334.56	3.025719e+05	2.647939e+01	6.384501e+00	599.06	53.473123	4627	4.174e-02
300kHz_152dA_100Mss_bobN112090_0020.txt		20.00	175.22	7.91	57784.76	333.46	3.025719e+05	2.646281e+01	6.385458e+00	604.32	53.981799	4627	4.212e-02
300kHz_152dA_100Mss_bobN112090_0021.txt		20.00	175.69	7.87	57784.76	339.01	3.025719e+05	2.684604e+01	6.383103e+00	599.00	52.730218	4627	4.241e-02
300kHz_152dA_100Mss_bobN112090_0022.txt		20.00	176.86	7.86	57784.76	338.51	3.025719e+05	2.683536e+01	6.383414e+00	600.62	52.895339	4627	4.206e-02
300kHz_152dA_100Mss_bobN112090_0023.txt		20.00	177.77	7.85	57784.76	340.39	3.025719e+05	2.697804e+01	6.384233e+00	608.73	53.330446	4627	4.277e-02
300kHz_152dA_100Mss_bobN112090_0024.txt		20.00	178.66	7.86	57784.76	334.52	3.025719e+05	2.663544e+01	6.387309e+00	619.23	54.965320	4627	4.248e-02
300kHz_152dA_100Mss_bobN112090_0025.txt		20.00	177.19	7.75	57784.76	335.62	3.025719e+05	2.664562e+01	6.381580e+00	585.49	51.920790	4627	4.314e-02
300kHz_152dA_100Mss_bobN112090_0026.txt		20.00	177.97	7.77	57784.76	336.44	3.025719e+05	2.672612e+01	6.382865e+00	594.91	52.603866	4627	4.351e-02
300kHz_152dA_100Mss_bobN112090_0027.txt		20.00	177.62	7.73	57784.76	343.29	3.025719e+05	2.719774e+01	6.380844e+00	593.17	51.530108	4627	4.343e-02
300kHz_152dA_100Mss_bobN112090_0028.txt		20.00	178.24	7.79	57784.76	341.49	3.025719e+05	2.708044e+01	6.382525e+00	600.74	52.423372	4627	4.293e-02
300kHz_152dA_100Mss_bobN112090_0029.txt		20.00	175.86	7.65	57784.76	346.12	3.025719e+05	2.731477e+01	6.374700e+00	558.35	48.269909	4627	4.414e-02
300kHz_152dA_100Mss_bobN112090_0030.txt		20.00	177.47	7.66	57784.76	343.82	3.025719e+05	2.723427e+01	6.379326e+00	584.77	50.724852	4627	4.456e-02
300kHz_152dA_100Mss_bobN112090_0031.txt		20.00	176.86	7.68	57784.76	343.61	3.025719e+05	2.719859e+01	6.380332e+00	590.09	51.259026	4627	4.397e-02
300kHz_152dA_100Mss_bobN112090_0032.txt		20.00	177.04	7.66	57784.76	342.40	3.026373e+05	2.713432e+01	6.381185e+00	593.97	51.711315	4626	4.296e-02
300kHz_152dA_100Mss_bobN112090_0033.txt		20.00	176.47	7.63	57784.76	339.47	3.025719e+05	2.694107e+01	6.381542e+00	591.76	51.900983	4627	4.395e-02
300kHz_152dA_100Mss_bobN112090_0034.txt		20.00	176.34	7.64	57784.76	338.04	3.025719e+05	2.687729e+01	6.383596e+00	602.65	52.992271	4627	4.373e-02
