# 260408_10:37:33.453083
t	CH1	CH2
0.000000e+00	-4.231825e-03	2.790925e+00
1.000000e-08	-4.521872e-03	2.465642e+00
2.000000e-08	-4.942594e-03	2.200927e+00
3.000000e-08	-5.547855e-03	1.938366e+00
4.000000e-08	-5.100056e-03	1.641535e+00
5.000000e-08	-3.805976e-03	1.317322e+00
6.000000e-08	-4.010763e-03	1.010056e+00
7.000000e-08	-4.129000e-03	7.167129e-01
8.000000e-08	-4.518275e-03	3.915812e-01
9.000000e-08	-2.381570e-03	1.584769e-01
1.000000e-07	-3.609582e-04	-1.168411e-01
1.100000e-07	1.135007e-02	-4.084703e-01
1.200000e-07	-8.595038e-03	-6.827623e-01
1.300000e-07	8.041292e-03	-9.448685e-01
1.400000e-07	-6.262114e-03	-1.208926e+00
1.500000e-07	5.236826e-03	-1.546390e+00
1.600000e-07	-5.508785e-03	-1.744950e+00
1.700000e-07	2.474654e-02	-2.007419e+00
1.800000e-07	6.467777e-02	-2.241573e+00
1.900000e-07	4.467456e-02	-2.535292e+00
2.000000e-07	-1.093997e-01	-2.946717e+00
2.100000e-07	3.113156e-02	-3.284135e+00
2.200000e-07	-5.228930e-02	-3.494739e+00
2.300000e-07	-9.499324e-03	-3.696364e+00
2.400000e-07	-1.038447e-01	-3.988848e+00
2.500000e-07	2.127445e-01	-4.126319e+00
2.600000e-07	-9.815046e-02	-4.417898e+00
2.700000e-07	-2.238595e-02	-4.732286e+00
2.800000e-07	1.429522e-01	-4.942240e+00
2.900000e-07	-2.008654e-01	-5.302053e+00
3.000000e-07	1.965257e-01	-5.545766e+00
3.100000e-07	-1.402567e-01	-5.838473e+00
3.200000e-07	8.009671e-02	-6.122612e+00
3.300000e-07	4.111031e-02	-6.373741e+00
3.400000e-07	-1.188447e-01	-6.631080e+00
3.500000e-07	1.309097e-01	-6.944614e+00
3.600000e-07	-1.227973e-01	-7.189475e+00
3.700000e-07	8.394908e-02	-7.461032e+00
3.800000e-07	-4.699370e-02	-7.734319e+00
3.900000e-07	1.685277e-02	-8.079982e+00
4.000000e-07	7.395290e-02	-8.278052e+00
4.100000e-07	-1.069587e-01	-8.531688e+00
4.200000e-07	9.563558e-02	-8.773662e+00
4.300000e-07	-7.612980e-02	-8.978400e+00
4.400000e-07	5.368770e-02	-9.256953e+00
4.500000e-07	-4.357386e-02	-9.479506e+00
4.600000e-07	2.712410e-02	-9.670134e+00
4.700000e-07	3.194516e-02	-9.892034e+00
4.800000e-07	-3.217979e-02	-1.011111e+01
4.900000e-07	1.623734e-02	-1.032311e+01
5.000000e-07	-3.653889e-02	-1.053372e+01
5.100000e-07	5.606577e-02	-1.074214e+01
5.200000e-07	-4.383110e-02	-1.094119e+01
5.300000e-07	2.944005e-02	-1.110426e+01
5.400000e-07	-1.007583e-02	-1.134209e+01
5.500000e-07	2.372058e-02	-1.154424e+01
5.600000e-07	-3.204682e-02	-1.174211e+01
5.700000e-07	7.190938e-03	-1.195364e+01
5.800000e-07	1.499838e-02	-1.212163e+01
5.900000e-07	1.600197e-03	-1.228059e+01
6.000000e-07	-4.777544e-03	-1.248853e+01
6.100000e-07	-2.312561e-03	-1.262645e+01
6.200000e-07	1.999396e-02	-1.278645e+01
6.300000e-07	-1.959873e-02	-1.297277e+01
6.400000e-07	4.615755e-03	-1.311251e+01
6.500000e-07	-3.908796e-03	-1.328795e+01
6.600000e-07	2.040952e-02	-1.339732e+01
6.700000e-07	-1.332804e-02	-1.355367e+01
6.800000e-07	9.556819e-03	-1.369001e+01
6.900000e-07	1.713381e-03	-1.384635e+01
7.000000e-07	4.859200e-03	-1.394614e+01
7.100000e-07	-5.745627e-03	-1.407858e+01
7.200000e-07	6.123251e-03	-1.421483e+01
7.300000e-07	6.530901e-03	-1.432264e+01
7.400000e-07	4.929069e-04	-1.442750e+01
7.500000e-07	3.360751e-03	-1.453261e+01
7.600000e-07	2.832559e-03	-1.463748e+01
7.700000e-07	6.052095e-03	-1.466053e+01
7.800000e-07	1.637065e-03	-1.480372e+01
7.900000e-07	6.069575e-03	-1.484840e+01
8.000000e-07	3.506317e-03	-1.494001e+01
8.100000e-07	4.157642e-03	-1.497229e+01
8.200000e-07	2.762033e-03	-1.499680e+01
8.300000e-07	5.786963e-03	-1.506845e+01
8.400000e-07	1.923938e-03	-1.509059e+01
8.500000e-07	4.344876e-03	-1.516267e+01
8.600000e-07	5.716486e-03	-1.519624e+01
8.700000e-07	7.050937e-03	-1.518637e+01
8.800000e-07	6.200304e-03	-1.521692e+01
8.900000e-07	6.615279e-03	-1.525945e+01
9.000000e-07	9.793360e-03	-1.524843e+01
9.100000e-07	8.023757e-03	-1.527903e+01
9.200000e-07	1.179518e-02	-1.527997e+01
9.300000e-07	1.311567e-02	-1.532106e+01
9.400000e-07	1.464262e-02	-1.528056e+01
9.500000e-07	1.413884e-02	-1.524808e+01
9.600000e-07	1.782893e-02	-1.528991e+01
9.700000e-07	2.303121e-02	-1.526743e+01
9.800000e-07	2.511739e-02	-1.521687e+01
9.900000e-07	2.800623e-02	-1.516680e+01
1.000000e-06	3.138905e-02	-1.516317e+01
1.010000e-06	3.590328e-02	-1.509164e+01
1.020000e-06	3.908423e-02	-1.505795e+01
1.030000e-06	3.990901e-02	-1.499692e+01
1.040000e-06	3.810693e-02	-1.495320e+01
1.050000e-06	3.440368e-02	-1.487756e+01
1.060000e-06	3.067598e-02	-1.478532e+01
1.070000e-06	2.539132e-02	-1.471309e+01
1.080000e-06	2.073614e-02	-1.461588e+01
1.090000e-06	1.744033e-02	-1.452324e+01
1.100000e-06	1.571806e-02	-1.438725e+01
1.110000e-06	1.323976e-02	-1.429067e+01
1.120000e-06	1.094514e-02	-1.421840e+01
1.130000e-06	1.011087e-02	-1.408156e+01
1.140000e-06	7.809058e-03	-1.396414e+01
1.150000e-06	6.976675e-03	-1.380943e+01
1.160000e-06	4.918728e-03	-1.371921e+01
1.170000e-06	5.296435e-03	-1.357313e+01
1.180000e-06	4.438271e-03	-1.341995e+01
1.190000e-06	4.508976e-03	-1.329111e+01
1.200000e-06	2.938163e-03	-1.316575e+01
1.210000e-06	2.001344e-03	-1.301843e+01
1.220000e-06	1.888435e-03	-1.290109e+01
1.230000e-06	2.445561e-03	-1.273266e+01
1.240000e-06	1.901506e-03	-1.259687e+01
1.250000e-06	1.273429e-03	-1.238587e+01
1.260000e-06	1.415449e-03	-1.219893e+01
1.270000e-06	6.665963e-04	-1.208003e+01
1.280000e-06	1.313412e-04	-1.188006e+01
1.290000e-06	-1.127765e-03	-1.163751e+01
1.300000e-06	-4.566667e-05	-1.147009e+01
1.310000e-06	-9.261395e-04	-1.124956e+01
1.320000e-06	-8.806251e-04	-1.103903e+01
1.330000e-06	-1.438110e-03	-1.082058e+01
1.340000e-06	-1.335543e-03	-1.066005e+01
1.350000e-06	-2.710408e-03	-1.043105e+01
1.360000e-06	-9.841258e-04	-1.021950e+01
1.370000e-06	-2.180466e-03	-9.997931e+00
1.380000e-06	-2.018572e-03	-9.786899e+00
1.390000e-06	-3.622392e-03	-9.604248e+00
1.400000e-06	-2.861143e-03	-9.363769e+00
1.410000e-06	-4.477566e-03	-9.115108e+00
1.420000e-06	-3.620160e-03	-8.882657e+00
1.430000e-06	-4.113007e-03	-8.619977e+00
1.440000e-06	-3.351780e-03	-8.367899e+00
1.450000e-06	-3.938930e-03	-8.177320e+00
1.460000e-06	-4.106968e-03	-7.893163e+00
1.470000e-06	-4.615794e-03	-7.609104e+00
1.480000e-06	-4.587720e-03	-7.365793e+00
1.490000e-06	-5.007620e-03	-7.103142e+00
1.500000e-06	-5.325109e-03	-6.842508e+00
1.510000e-06	-4.397366e-03	-6.570398e+00
1.520000e-06	-3.744333e-03	-6.377353e+00
1.530000e-06	-5.387856e-03	-6.093086e+00
1.540000e-06	-5.041057e-03	-5.821029e+00
1.550000e-06	-4.804807e-03	-5.597347e+00
1.560000e-06	-4.655419e-03	-5.323131e+00
1.570000e-06	-6.291997e-03	-4.967920e+00
1.580000e-06	-4.276301e-03	-4.632553e+00
1.590000e-06	-5.816702e-03	-4.421104e+00
1.600000e-06	-4.289931e-03	-4.158823e+00
1.610000e-06	-5.531406e-03	-3.904207e+00
1.620000e-06	-3.940053e-03	-3.612055e+00
1.630000e-06	-4.574862e-03	-3.356324e+00
1.640000e-06	-6.180308e-03	-3.083133e+00
1.650000e-06	-4.802166e-03	-2.767867e+00
1.660000e-06	-7.100082e-03	-2.504741e+00
1.670000e-06	-4.314391e-03	-2.150905e+00
1.680000e-06	-6.579521e-03	-1.906841e+00
1.690000e-06	-4.492898e-03	-1.593104e+00
1.700000e-06	-7.435064e-03	-1.263838e+00
1.710000e-06	-5.192632e-03	-1.009453e+00
1.720000e-06	-6.799233e-03	-7.573635e-01
1.730000e-06	-4.570934e-03	-4.025250e-01
1.740000e-06	-5.380866e-03	-1.388686e-01
1.750000e-06	-5.073203e-04	1.062360e-01
1.760000e-06	6.985298e-03	4.084752e-01
1.770000e-06	-7.760462e-03	6.711843e-01
1.780000e-06	3.941580e-03	8.838125e-01
1.790000e-06	-5.468477e-03	1.250050e+00
1.800000e-06	3.094973e-03	1.510711e+00
1.810000e-06	-9.320992e-03	1.790055e+00
1.820000e-06	1.325685e-02	2.020003e+00
1.830000e-06	1.323135e-02	2.252078e+00
1.840000e-06	8.659178e-02	2.475133e+00
1.850000e-06	-1.477418e-02	2.841656e+00
1.860000e-06	-6.945368e-02	3.166874e+00
1.870000e-06	-1.730858e-02	3.439608e+00
1.880000e-06	-1.489888e-02	3.723215e+00
1.890000e-06	-2.113386e-02	3.955394e+00
1.900000e-06	-4.355122e-02	4.208370e+00
1.910000e-06	3.979811e-02	4.436953e+00
1.920000e-06	8.766087e-02	4.693059e+00
1.930000e-06	-1.457841e-01	4.944445e+00
1.940000e-06	1.474101e-01	5.250207e+00
1.950000e-06	-8.272947e-02	5.546296e+00
1.960000e-06	-6.467617e-03	5.839528e+00
1.970000e-06	3.364896e-02	6.102711e+00
1.980000e-06	-3.103896e-02	6.345268e+00
1.990000e-06	3.655669e-02	6.598374e+00
2.000000e-06	-4.974924e-02	6.871636e+00
2.010000e-06	3.536252e-02	7.165323e+00
2.020000e-06	-1.786240e-02	7.430052e+00
2.030000e-06	-1.900677e-02	7.732691e+00
2.040000e-06	9.600931e-03	7.997347e+00
2.050000e-06	-1.296148e-02	8.301259e+00
2.060000e-06	4.360220e-02	8.481613e+00
2.070000e-06	-4.495908e-02	8.681216e+00
2.080000e-06	-1.344124e-03	8.985243e+00
2.090000e-06	1.135562e-02	9.196899e+00
2.100000e-06	-1.599942e-02	9.429006e+00
2.110000e-06	7.297833e-04	9.631007e+00
2.120000e-06	-2.171363e-02	9.850137e+00
2.130000e-06	3.178581e-02	1.010212e+01
2.140000e-06	-2.347654e-02	1.030159e+01
2.150000e-06	-5.934764e-03	1.054277e+01
2.160000e-06	-1.575122e-02	1.070366e+01
2.170000e-06	1.247764e-02	1.093319e+01
2.180000e-06	-2.396858e-03	1.110269e+01
2.190000e-06	-2.314907e-02	1.131167e+01
2.200000e-06	1.071081e-02	1.151217e+01
2.210000e-06	-1.897615e-03	1.175427e+01
2.220000e-06	-3.681809e-03	1.190261e+01
2.230000e-06	-2.406491e-02	1.210259e+01
2.240000e-06	1.389157e-02	1.226956e+01
2.250000e-06	-1.290988e-03	1.246900e+01
2.260000e-06	-1.204155e-02	1.262693e+01
2.270000e-06	-1.215456e-02	1.280483e+01
2.280000e-06	2.304834e-03	1.292219e+01
2.290000e-06	-1.807606e-03	1.307306e+01
2.300000e-06	-1.881057e-02	1.327813e+01
2.310000e-06	-8.520110e-04	1.337583e+01
2.320000e-06	-1.785513e-03	1.355412e+01
2.330000e-06	-3.560114e-03	1.370151e+01
2.340000e-06	-1.209760e-02	1.384532e+01
2.350000e-06	-2.948267e-03	1.398624e+01
2.360000e-06	-4.898796e-03	1.411094e+01
2.370000e-06	-1.206005e-02	1.422648e+01
2.380000e-06	-7.754543e-03	1.435427e+01
2.390000e-06	-6.161796e-03	1.449951e+01
2.400000e-06	-4.625984e-03	1.456474e+01
2.410000e-06	-1.139383e-02	1.465901e+01
2.420000e-06	-6.282739e-03	1.473314e+01
2.430000e-06	-8.434151e-03	1.483840e+01
2.440000e-06	-5.581644e-03	1.485108e+01
2.450000e-06	-8.255416e-03	1.498422e+01
2.460000e-06	-9.343508e-03	1.502488e+01
2.470000e-06	-9.280392e-03	1.506898e+01
2.480000e-06	-1.210093e-02	1.509112e+01
2.490000e-06	-8.649379e-03	1.516222e+01
2.500000e-06	-1.294580e-02	1.520490e+01
2.510000e-06	-1.090539e-02	1.523790e+01
2.520000e-06	-1.216085e-02	1.524850e+01
2.530000e-06	-1.189486e-02	1.526851e+01
2.540000e-06	-1.408070e-02	1.531106e+01
2.550000e-06	-1.606697e-02	1.533111e+01
2.560000e-06	-1.396686e-02	1.531424e+01
2.570000e-06	-1.772474e-02	1.537627e+01
2.580000e-06	-1.851688e-02	1.535362e+01
2.590000e-06	-2.173488e-02	1.532117e+01
2.600000e-06	-2.203023e-02	1.534272e+01
2.610000e-06	-2.495773e-02	1.531267e+01
2.620000e-06	-2.711113e-02	1.529121e+01
2.630000e-06	-2.969649e-02	1.528946e+01
2.640000e-06	-3.438381e-02	1.524896e+01
2.650000e-06	-3.716625e-02	1.523738e+01
2.660000e-06	-4.400841e-02	1.517372e+01
2.670000e-06	-4.451111e-02	1.513417e+01
2.680000e-06	-4.596921e-02	1.506999e+01
2.690000e-06	-4.346539e-02	1.505786e+01
2.700000e-06	-4.230923e-02	1.493375e+01
2.710000e-06	-3.795632e-02	1.483106e+01
2.720000e-06	-3.194078e-02	1.480734e+01
2.730000e-06	-2.812158e-02	1.469209e+01
2.740000e-06	-2.466170e-02	1.460838e+01
2.750000e-06	-2.315100e-02	1.449309e+01
2.760000e-06	-2.113980e-02	1.441743e+01
2.770000e-06	-1.970357e-02	1.430246e+01
2.780000e-06	-1.855059e-02	1.417593e+01
2.790000e-06	-1.465359e-02	1.401845e+01
2.800000e-06	-1.590925e-02	1.391261e+01
2.810000e-06	-1.251013e-02	1.379590e+01
2.820000e-06	-1.502476e-02	1.364001e+01
2.830000e-06	-1.207976e-02	1.348360e+01
2.840000e-06	-1.358203e-02	1.339585e+01
2.850000e-06	-9.919274e-03	1.325045e+01
