# Temperatura_=_20.0
# Concentracion g/m^3_=_8200.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302607.31024166464

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.985743e-06	-4.651500e-09	-5.756266e+01	-3.052040e+02
1.000000e-08	-7.983457e-06	-4.652122e-09	-5.754618e+01	-3.051545e+02
2.000000e-08	-7.978444e-06	-4.652366e-09	-5.751004e+01	-3.051500e+02
3.000000e-08	-7.970895e-06	-4.655326e-09	-5.745563e+01	-3.051561e+02
4.000000e-08	-7.960576e-06	-4.657524e-09	-5.738124e+01	-3.051146e+02
5.000000e-08	-7.947354e-06	-4.653979e-09	-5.728594e+01	-3.049714e+02
6.000000e-08	-7.931217e-06	-4.648741e-09	-5.716962e+01	-3.047045e+02
7.000000e-08	-7.912544e-06	-4.645607e-09	-5.703502e+01	-3.043380e+02
8.000000e-08	-7.891629e-06	-4.639551e-09	-5.688427e+01	-3.039336e+02
9.000000e-08	-7.868092e-06	-4.664883e-09	-5.671461e+01	-3.035649e+02
1.000000e-07	-7.841486e-06	-4.657718e-09	-5.652283e+01	-3.032836e+02
1.100000e-07	-7.811801e-06	-4.620757e-09	-5.630885e+01	-3.030937e+02
1.200000e-07	-7.779239e-06	-4.612071e-09	-5.607414e+01	-3.029468e+02
1.300000e-07	-7.743854e-06	-4.609851e-09	-5.581907e+01	-3.027595e+02
1.400000e-07	-7.705905e-06	-4.611953e-09	-5.554554e+01	-3.024483e+02
1.500000e-07	-7.665670e-06	-4.608464e-09	-5.525551e+01	-3.019652e+02
1.600000e-07	-7.623141e-06	-4.610029e-09	-5.494895e+01	-3.013203e+02
1.700000e-07	-7.578119e-06	-4.579594e-09	-5.462443e+01	-3.005800e+02
1.800000e-07	-7.530329e-06	-4.528588e-09	-5.427995e+01	-2.998428e+02
1.900000e-07	-7.479610e-06	-4.555674e-09	-5.391436e+01	-2.991998e+02
2.000000e-07	-7.425993e-06	-4.553949e-09	-5.352788e+01	-2.986992e+02
2.100000e-07	-7.369577e-06	-4.552982e-09	-5.312122e+01	-2.983257e+02
2.200000e-07	-7.310525e-06	-4.595268e-09	-5.269557e+01	-2.980052e+02
2.300000e-07	-7.248934e-06	-4.572435e-09	-5.225160e+01	-2.976322e+02
2.400000e-07	-7.184692e-06	-4.541753e-09	-5.178854e+01	-2.971085e+02
2.500000e-07	-7.117652e-06	-4.501229e-09	-5.130530e+01	-2.963786e+02
2.600000e-07	-7.047921e-06	-4.511404e-09	-5.080267e+01	-2.954483e+02
2.700000e-07	-6.975459e-06	-4.495792e-09	-5.028035e+01	-2.943798e+02
2.800000e-07	-6.900182e-06	-4.448330e-09	-4.973774e+01	-2.932669e+02
2.900000e-07	-6.822150e-06	-4.444997e-09	-4.917527e+01	-2.922000e+02
3.000000e-07	-6.741340e-06	-4.446194e-09	-4.859278e+01	-2.912339e+02
3.100000e-07	-6.658090e-06	-4.442646e-09	-4.799270e+01	-2.903717e+02
3.200000e-07	-6.572608e-06	-4.407644e-09	-4.737653e+01	-2.895684e+02
3.300000e-07	-6.484774e-06	-4.399976e-09	-4.674340e+01	-2.887516e+02
3.400000e-07	-6.394496e-06	-4.393465e-09	-4.609266e+01	-2.878501e+02
