# Temperatura_=_20.0
# Concentracion g/m^3_=_8200.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302590.27280774224

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.949268e-06	-5.483396e-09	-5.756816e+01	-3.588495e+02
1.000000e-08	-7.946760e-06	-5.488242e-09	-5.755000e+01	-3.588621e+02
2.000000e-08	-7.941577e-06	-5.488028e-09	-5.751246e+01	-3.588969e+02
3.000000e-08	-7.933843e-06	-5.487411e-09	-5.745645e+01	-3.589032e+02
4.000000e-08	-7.923349e-06	-5.489095e-09	-5.738045e+01	-3.588247e+02
5.000000e-08	-7.909954e-06	-5.489007e-09	-5.728345e+01	-3.586259e+02
6.000000e-08	-7.893649e-06	-5.484226e-09	-5.716537e+01	-3.583097e+02
7.000000e-08	-7.874816e-06	-5.477738e-09	-5.702898e+01	-3.579186e+02
8.000000e-08	-7.853794e-06	-5.462414e-09	-5.687675e+01	-3.575180e+02
9.000000e-08	-7.830192e-06	-5.485645e-09	-5.670582e+01	-3.571684e+02
1.000000e-07	-7.803543e-06	-5.515321e-09	-5.651283e+01	-3.568994e+02
1.100000e-07	-7.773818e-06	-5.467967e-09	-5.629756e+01	-3.566960e+02
1.200000e-07	-7.741197e-06	-5.433907e-09	-5.606132e+01	-3.565024e+02
1.300000e-07	-7.705777e-06	-5.444074e-09	-5.580481e+01	-3.562437e+02
1.400000e-07	-7.667865e-06	-5.457318e-09	-5.553025e+01	-3.558554e+02
1.500000e-07	-7.627673e-06	-5.429730e-09	-5.523919e+01	-3.553106e+02
1.600000e-07	-7.585081e-06	-5.380788e-09	-5.493074e+01	-3.546324e+02
1.700000e-07	-7.539949e-06	-5.413261e-09	-5.460389e+01	-3.538876e+02
1.800000e-07	-7.492218e-06	-5.353679e-09	-5.425823e+01	-3.531640e+02
1.900000e-07	-7.441720e-06	-5.345012e-09	-5.389252e+01	-3.525371e+02
2.000000e-07	-7.388294e-06	-5.418212e-09	-5.350562e+01	-3.520413e+02
2.100000e-07	-7.331997e-06	-5.377003e-09	-5.309792e+01	-3.516531e+02
2.200000e-07	-7.273013e-06	-5.389080e-09	-5.267076e+01	-3.512950e+02
2.300000e-07	-7.211511e-06	-5.361401e-09	-5.222536e+01	-3.508586e+02
2.400000e-07	-7.147375e-06	-5.332981e-09	-5.176089e+01	-3.502395e+02
2.500000e-07	-7.080433e-06	-5.330509e-09	-5.127611e+01	-3.493730e+02
2.600000e-07	-7.010845e-06	-5.309522e-09	-5.077215e+01	-3.482572e+02
2.700000e-07	-6.938547e-06	-5.290520e-09	-5.024857e+01	-3.469565e+02
2.800000e-07	-6.863372e-06	-5.240248e-09	-4.970416e+01	-3.455812e+02
2.900000e-07	-6.785438e-06	-5.232375e-09	-4.913977e+01	-3.442524e+02
3.000000e-07	-6.704758e-06	-5.223842e-09	-4.855549e+01	-3.430604e+02
3.100000e-07	-6.621661e-06	-5.226985e-09	-4.795370e+01	-3.420350e+02
3.200000e-07	-6.536375e-06	-5.220643e-09	-4.733607e+01	-3.411351e+02
3.300000e-07	-6.448737e-06	-5.176337e-09	-4.670140e+01	-3.402643e+02
3.400000e-07	-6.358719e-06	-5.164482e-09	-4.604949e+01	-3.393054e+02
3.500000e-07	-6.266385e-06	-5.149804e-09	-4.538082e+01	-3.381620e+02
3.600000e-07	-6.171851e-06	-5.136849e-09	-4.469620e+01	-3.367917e+02
3.700000e-07	-6.075129e-06	-5.109145e-09	-4.399575e+01	-3.352181e+02
3.800000e-07	-5.976096e-06	-5.080417e-09	-4.327856e+01	-3.335175e+02
3.900000e-07	-5.874827e-06	-5.054937e-09	-4.254517e+01	-3.317864e+02
4.000000e-07	-5.771486e-06	-5.018678e-09	-4.179679e+01	-3.301027e+02
4.100000e-07	-5.666091e-06	-4.993428e-09	-4.103352e+01	-3.284965e+02
4.200000e-07	-5.558695e-06	-4.979825e-09	-4.025577e+01	-3.269417e+02
4.300000e-07	-5.449399e-06	-4.965795e-09	-3.946425e+01	-3.253698e+02
4.400000e-07	-5.338171e-06	-4.919040e-09	-3.865874e+01	-3.237006e+02
4.500000e-07	-5.224879e-06	-4.886082e-09	-3.783828e+01	-3.218748e+02
4.600000e-07	-5.109475e-06	-4.873491e-09	-3.700253e+01	-3.198746e+02
4.700000e-07	-4.992110e-06	-4.843973e-09	-3.615258e+01	-3.177259e+02
4.800000e-07	-4.873016e-06	-4.796532e-09	-3.529012e+01	-3.154815e+02
4.900000e-07	-4.752149e-06	-4.763678e-09	-3.441480e+01	-3.131946e+02
5.000000e-07	-4.629444e-06	-4.739065e-09	-3.352618e+01	-3.108959e+02
5.100000e-07	-4.505085e-06	-4.689675e-09	-3.262558e+01	-3.085831e+02
5.200000e-07	-4.379145e-06	-4.642345e-09	-3.171353e+01	-3.062261e+02
5.300000e-07	-4.251571e-06	-4.610324e-09	-3.078964e+01	-3.037839e+02
5.400000e-07	-4.122433e-06	-4.571295e-09	-2.985443e+01	-3.012242e+02
5.500000e-07	-3.991774e-06	-4.517182e-09	-2.890821e+01	-2.985340e+02
5.600000e-07	-3.859523e-06	-4.478801e-09	-2.795045e+01	-2.957194e+02
5.700000e-07	-3.725792e-06	-4.450411e-09	-2.698198e+01	-2.927947e+02
5.800000e-07	-3.590689e-06	-4.406096e-09	-2.600357e+01	-2.897679e+02
5.900000e-07	-3.454178e-06	-4.354225e-09	-2.501497e+01	-2.866317e+02
6.000000e-07	-3.316356e-06	-4.306589e-09	-2.401687e+01	-2.833633e+02
6.100000e-07	-3.177231e-06	-4.252366e-09	-2.300933e+01	-2.799335e+02
6.200000e-07	-3.036760e-06	-4.185794e-09	-2.199205e+01	-2.763190e+02
6.300000e-07	-2.894931e-06	-4.128381e-09	-2.096493e+01	-2.725096e+02
6.400000e-07	-2.751905e-06	-4.075459e-09	-1.992914e+01	-2.685087e+02
6.500000e-07	-2.607887e-06	-4.007685e-09	-1.888618e+01	-2.643249e+02
6.600000e-07	-2.462917e-06	-3.932792e-09	-1.783631e+01	-2.599620e+02
6.700000e-07	-2.317125e-06	-3.865399e-09	-1.678049e+01	-2.554116e+02
6.800000e-07	-2.170618e-06	-3.796081e-09	-1.571950e+01	-2.506532e+02
6.900000e-07	-2.023381e-06	-3.719579e-09	-1.465321e+01	-2.456602e+02
7.000000e-07	-1.875450e-06	-3.643901e-09	-1.358190e+01	-2.404055e+02
7.100000e-07	-1.726944e-06	-3.565341e-09	-1.250643e+01	-2.348623e+02
7.200000e-07	-1.577960e-06	-3.473852e-09	-1.142750e+01	-2.289966e+02
7.300000e-07	-1.428537e-06	-3.370856e-09	-1.034539e+01	-2.227563e+02
7.400000e-07	-1.278666e-06	-3.267670e-09	-9.260030e+00	-2.160639e+02
7.500000e-07	-1.128309e-06	-3.156170e-09	-8.171154e+00	-2.088200e+02
7.600000e-07	-9.775197e-07	-3.028475e-09	-7.079144e+00	-2.009208e+02
7.700000e-07	-8.264057e-07	-2.892588e-09	-5.984784e+00	-1.922799e+02
7.800000e-07	-6.749356e-07	-2.750989e-09	-4.887846e+00	-1.828414e+02
7.900000e-07	-5.231465e-07	-2.598587e-09	-3.788598e+00	-1.725696e+02
8.000000e-07	-3.711151e-07	-2.431782e-09	-2.687595e+00	-1.614103e+02
8.100000e-07	-2.189046e-07	-2.249249e-09	-1.585295e+00	-1.492325e+02
8.200000e-07	-6.659300e-08	-2.042234e-09	-4.822628e-01	-1.357771e+02
8.300000e-07	8.577712e-08	-1.805036e-09	6.211932e-01	-1.206438e+02
8.400000e-07	2.381422e-07	-1.535849e-09	1.724613e+00	-1.033393e+02
8.500000e-07	3.904595e-07	-1.231226e-09	2.827686e+00	-8.339261e+01
8.600000e-07	5.426439e-07	-8.857857e-10	3.929797e+00	-6.051211e+01
8.700000e-07	6.946712e-07	-4.951393e-10	5.030770e+00	-3.473894e+01
8.800000e-07	8.465071e-07	-6.274869e-11	6.130358e+00	-6.541037e+00
8.900000e-07	9.980158e-07	3.958277e-10	7.227575e+00	2.319388e+01
9.000000e-07	1.149113e-06	8.554441e-10	8.321812e+00	5.327845e+01
9.100000e-07	1.299733e-06	1.297681e-09	9.412596e+00	8.243327e+01
9.200000e-07	1.449861e-06	1.707161e-09	1.049981e+01	1.095251e+02
9.300000e-07	1.599474e-06	2.070791e-09	1.158330e+01	1.337670e+02
9.400000e-07	1.748582e-06	2.384011e-09	1.266314e+01	1.548246e+02
9.500000e-07	1.897142e-06	2.653784e-09	1.373900e+01	1.728017e+02
9.600000e-07	2.045014e-06	2.887726e-09	1.480988e+01	1.881234e+02
9.700000e-07	2.192042e-06	3.091154e-09	1.587465e+01	2.013601e+02
9.800000e-07	2.338172e-06	3.272277e-09	1.693291e+01	2.130552e+02
9.900000e-07	2.483549e-06	3.435953e-09	1.798573e+01	2.236080e+02
1.000000e-06	2.628079e-06	3.580944e-09	1.903240e+01	2.332357e+02
1.010000e-06	2.771548e-06	3.709069e-09	2.007140e+01	2.420090e+02
1.020000e-06	2.913932e-06	3.825656e-09	2.110253e+01	2.499297e+02
1.030000e-06	3.055161e-06	3.932528e-09	2.212531e+01	2.570088e+02
1.040000e-06	3.195077e-06	4.030266e-09	2.313857e+01	2.633150e+02
1.050000e-06	3.333702e-06	4.117818e-09	2.414249e+01	2.689781e+02
